epseason,epnum,epname,rating,dynamics
10,7,The One with the Home Study,8.3,4
10,8,The One with the Late Thanksgiving,8.9,46
10,8,The One with the Late Thanksgiving,8.9,25
10,8,The One with the Late Thanksgiving,8.9,13
10,9,The One with the Birth Mother,8.6,13
10,9,The One with the Birth Mother,8.6,2
10,9,The One with the Birth Mother,8.6,456
10,10,The One Where Chandler Gets Caught,8.0,46
10,10,The One Where Chandler Gets Caught,8.0,2456
10,10,The One Where Chandler Gets Caught,8.0,13
10,11,The One Where the Stripper Cries,9.0,346
10,11,The One Where the Stripper Cries,9.0,15
10,11,The One Where the Stripper Cries,9.0,1356
10,11,The One Where the Stripper Cries,9.0,2
10,11,The One Where the Stripper Cries,9.0,35
10,12,The One with Phoebe's Wedding,8.9,4
10,12,The One with Phoebe's Wedding,8.9,24
10,12,The One with Phoebe's Wedding,8.9,15
10,13,The One Where Joey Speaks French,8.5,24
10,13,The One Where Joey Speaks French,8.5,56
10,13,The One Where Joey Speaks French,8.5,13
10,14,The One with Princess Consuela,8.7,4
10,14,The One with Princess Consuela,8.7,6
10,14,The One with Princess Consuela,8.7,123
10,15,The One Where Estelle Dies,8.6,2
10,15,The One Where Estelle Dies,8.6,13
10,15,The One Where Estelle Dies,8.6,56
10,16,The One with Rachel's Going Away Party,8.9,13
10,16,The One with Rachel's Going Away Party,8.9,56
10,16,The One with Rachel's Going Away Party,8.9,15
10,16,The One with Rachel's Going Away Party,8.9,25
10,16,The One with Rachel's Going Away Party,8.9,35
10,16,The One with Rachel's Going Away Party,8.9,45
10,17,The Last One: Part 1,9.5,13
10,17,The Last One: Part 1,9.5,56
10,17,The Last One: Part 1,9.5,45
10,17,The Last One: Part 1,9.5,123
10,18,The Last One: Part 2,9.7,46
10,18,The Last One: Part 2,9.7,56
10,18,The Last One: Part 2,9.7,123
10,18,The Last One: Part 2,9.7,12
